,ori,lo_transittime
351,797.0,14.0
352,798.0,14.0
353,800.0,10.0
354,804.0,7.0
355,806.0,5.0
356,807.0,8.0
357,812.0,11.0
358,813.0,3.0
359,816.0,8.0
360,817.0,2.0
361,818.0,5.0
362,820.0,11.0
363,824.0,3.0
364,825.0,6.0
365,827.0,6.0
366,828.0,9.0
367,829.0,6.0
368,832.0,19.0
369,833.0,14.0
370,835.0,5.0
371,838.0,7.0
372,841.0,7.0
373,845.0,7.0
374,848.0,6.0
375,850.0,9.0
376,851.0,8.0
377,852.0,15.0
378,857.0,10.0
379,860.0,22.0
380,862.0,8.0
381,864.0,17.0
382,866.0,22.0
383,867.0,9.0
384,868.0,4.0
385,869.0,6.0
386,871.0,12.0
387,872.0,11.0
388,873.0,8.0
389,876.0,20.0
390,878.0,18.0
391,879.0,9.0
392,880.0,3.0
393,883.0,11.0
394,884.0,5.0
395,886.0,13.0
396,887.0,13.0
397,890.0,16.0
398,892.0,3.0
399,895.0,25.0
400,896.0,11.0
401,897.0,4.0
402,898.0,2.0
403,900.0,6.0
404,902.0,7.0
405,903.0,13.0
406,904.0,11.0
407,905.0,4.0
408,909.0,19.0
409,910.0,16.0
410,913.0,24.0
411,916.0,6.0
412,918.0,24.0
413,920.0,8.0
414,922.0,21.0
415,925.0,3.0
416,927.0,8.0
417,928.0,9.0
418,932.0,12.0
419,935.0,18.0
420,937.0,8.0
421,939.0,13.0
422,942.0,8.0
423,943.0,8.0
424,944.0,10.0
425,946.0,28.0
426,948.0,12.0
427,951.0,6.0
428,953.0,1.0
429,958.0,11.0
430,965.0,10.0
431,967.0,26.0
432,970.0,6.0
433,971.0,8.0
434,973.0,7.0
435,976.0,15.0
436,977.0,2.0
437,978.0,14.0
438,981.0,20.0
439,982.0,8.0
440,985.0,19.0
441,987.0,3.0
442,988.0,9.0
443,989.0,5.0
444,991.0,9.0
445,992.0,6.0
446,993.0,6.0
447,994.0,7.0
448,995.0,8.0
449,997.0,9.0
450,1003.0,10.0
451,1006.0,11.0
452,1008.0,25.0
453,1010.0,18.0
454,1014.0,5.0
455,1018.0,6.0
456,1020.0,5.0
457,1021.0,11.0
458,1022.0,8.0
459,1023.0,15.0
460,1027.0,14.0
461,1030.0,7.0
462,1033.0,7.0
463,1042.0,17.0
464,1048.0,7.0
465,1051.0,7.0
466,1055.0,11.0
467,1056.0,12.0
468,1059.0,11.0
469,1060.0,8.0
470,1061.0,7.0
471,1062.0,18.0
472,1063.0,14.0
473,1064.0,6.0
474,1065.0,22.0
475,1066.0,12.0
476,1067.0,5.0
477,1068.0,10.0
478,1069.0,8.0
479,1073.0,17.0
480,1074.0,12.0
481,1076.0,7.0
482,1077.0,5.0
483,1079.0,7.0
484,1082.0,17.0
485,1083.0,5.0
486,1086.0,4.0
487,1087.0,27.0
488,1091.0,15.0
489,1092.0,20.0
490,1095.0,8.0
491,1096.0,8.0
492,1100.0,7.0
493,1101.0,25.0
494,1102.0,12.0
495,1104.0,11.0
496,1106.0,9.0
497,1108.0,4.0
498,1109.0,16.0
499,1110.0,5.0
500,1111.0,11.0
501,1114.0,1.0
502,1116.0,8.0
503,1118.0,2.0
504,1124.0,10.0
505,1126.0,13.0
506,1127.0,12.0
507,1128.0,13.0
508,1129.0,23.0
509,1131.0,29.0
